LAST,FIRST,LEAGUE,TEAM,POSITION,1PG,2PG,SHOTS,ES%
Danny,Siebel,MLL,Cannons,Attack,2,0,3,0.67
Andrew,Newbold,MLL,Outlaws,Defense,5,5,18,0.69
Matt,Gilray,MLL,Outlaws,Long Stick Midfield,3,0,4,0.75
Brandon,Jones,MLL,Outlaws,Defense,0,2,4,0.75
Moderski,John,PLL,Chrome,Defense,1,0,1,1.0
Kemp,Larken,PLL,Redwoods,Long Stick Midfield,1,0,1,1.0
Muller,Tim,PLL,Whipsnakes,Defense,1,0,1,1.0
Paparo,Isaac,PLL,Whipsnakes,Long Stick Midfield,1,0,1,1.0
Tim,Edwards,MLL,Cannons,Midfield,2,0,2,1.0
Collin,Lett,MLL,Outlaws,Defense,1,0,1,1.0
Brett,Osman,MLL,Lizards,Defense,1,0,1,1.0
Peter,Welch,MLL,Lizards,Long Stick Midfield,1,0,1,1.0
Richard,Noah,PLL,Atlas,Long Stick Midfield,2,1,3,1.17
Manley,Michael,PLL,Chrome,Defense,0,1,1,1.5
